Chi-Square,Bhattacharyya
0.000000000000000000e+00,5.500310778658472448e-09
1.054842099547386169e-01,1.774158162466399347e-01
4.822675883769989014e-01,3.936525841561770434e-01
3.697486221790313721e-01,3.334056657337727270e-01
5.802579522132873535e-01,4.662103034378348165e-01
2.589358687400817871e-01,2.771133835148456570e-01
2.604966759681701660e-01,2.749523467506946317e-01
8.648266196250915527e-01,5.621483656826673503e-01
9.177958965301513672e-01,5.928999930750096237e-01
9.194253087043762207e-01,5.930213103395728380e-01
5.591469407081604004e-01,4.264811049166976620e-01
3.013855516910552979e-01,3.361651482092168908e-01
7.291770577430725098e-01,5.997428173502036275e-01
2.202691882848739624e-01,2.667831149738484342e-01
6.058689951896667480e-01,4.598104362328234718e-01
2.686056196689605713e-01,2.974123541523811531e-01
3.246732652187347412e-01,3.241950413726740199e-01
2.949155569076538086e-01,2.926922384761146412e-01
6.365588307380676270e-01,4.611722933069886676e-01
4.874440133571624756e-01,4.141778434097533323e-01
5.323638319969177246e-01,4.378564460780267065e-01
5.100631713867187500e-01,4.127372040867456904e-01
9.525315165519714355e-01,6.161540091080858206e-01
4.907344281673431396e-01,4.067600983792384883e-01
6.382845044136047363e-01,4.788517553625539214e-01
3.855239450931549072e-01,3.784447730452648595e-01
3.858778476715087891e-01,3.720624189726671194e-01
3.602872788906097412e-01,3.317898412389628793e-01
4.224563539028167725e-01,3.549081394865283290e-01
2.556544244289398193e-01,2.836448348206652148e-01
3.552919924259185791e-01,3.412132198532118466e-01
4.397114813327789307e-01,4.112116991630936358e-01
7.079493403434753418e-01,5.097231513610733789e-01
7.217624187469482422e-01,5.082640651075541749e-01
5.939159393310546875e-01,4.508483903057777797e-01
7.142065167427062988e-01,5.024868954328558512e-01
8.552656173706054688e-01,5.658374112616799678e-01
6.168339848518371582e-01,4.519477915255949441e-01
5.391528010368347168e-01,4.488644730616391243e-01
3.605160415172576904e-01,3.763920725757224361e-01
6.943416595458984375e-01,5.125516982014407530e-01
6.514020562171936035e-01,4.848674943819156202e-01
4.438638687133789062e-01,3.899494490161135585e-01
9.543358683586120605e-01,6.019744918619228669e-01
9.644110202789306641e-01,6.054905387560455265e-01
3.516575396060943604e-01,3.318736057141963292e-01
3.981252014636993408e-01,3.598368579447844273e-01
6.362308859825134277e-01,4.865412018374071779e-01
8.573987483978271484e-01,6.086235096708004777e-01
9.930979609489440918e-01,6.677409141401757786e-01
5.813567638397216797e-01,4.637674256188652477e-01
5.730089545249938965e-01,4.540769532374318573e-01
5.959656834602355957e-01,4.821153822915196230e-01
6.320776343345642090e-01,5.041406527266484305e-01
7.396759390830993652e-01,5.415466787140301719e-01
5.735911726951599121e-01,4.649635659190181625e-01
