model,conf,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,avg_dets_per_img
YOLO,0.1,0.4640498161315918,0.5938469767570496,0.5029332041740417,0.22645922005176544,0.38448867201805115,0.5554338693618774,0.3228853940963745,0.4977485239505768,0.5072206854820251,0.29845118522644043,0.4551630914211273,0.5841667056083679,6.498
DETR,0.1,0.41753092408180237,0.5781660676002502,0.44596633315086365,0.19781048595905304,0.3353380858898163,0.5266996622085571,0.309940367937088,0.46618491411209106,0.47584161162376404,0.27531951665878296,0.3928018808364868,0.5660679936408997,8.123
RT-DETR,0.1,0.6206104755401611,0.8121376037597656,0.6618863344192505,0.2155279964208603,0.48258161544799805,0.7459855079650879,0.47466593980789185,0.6685220003128052,0.674522340297699,0.2769417464733124,0.5540370345115662,0.7925316095352173,4.155
YOLO,0.25,0.45191141963005066,0.5739704370498657,0.4893361032009125,0.2181222140789032,0.36694931983947754,0.5446651577949524,0.3193417489528656,0.48051828145980835,0.4879628121852875,0.27650952339172363,0.420207142829895,0.5699073672294617,4.323
DETR,0.25,0.41753092408180237,0.5781660676002502,0.44596633315086365,0.19781048595905304,0.3353380858898163,0.5266996622085571,0.309940367937088,0.46618491411209106,0.47584161162376404,0.27531951665878296,0.3928018808364868,0.5660679936408997,8.123
RT-DETR,0.25,0.6206104755401611,0.8121376037597656,0.6618863344192505,0.2155279964208603,0.48258161544799805,0.7459855079650879,0.47466593980789185,0.6685220003128052,0.674522340297699,0.2769417464733124,0.5540370345115662,0.7925316095352173,4.155
YOLO,0.5,0.42635366320610046,0.5301178097724915,0.46415266394615173,0.14773407578468323,0.3274816572666168,0.5320064425468445,0.31355199217796326,0.45124661922454834,0.45442989468574524,0.17855803668498993,0.36458620429039,0.5548166036605835,3.067
DETR,0.5,0.41753092408180237,0.5781660676002502,0.44596633315086365,0.19781048595905304,0.3353380858898163,0.5266996622085571,0.309940367937088,0.46618491411209106,0.47584161162376404,0.27531951665878296,0.3928018808364868,0.5660679936408997,8.123
RT-DETR,0.5,0.6206104755401611,0.8121376037597656,0.6618863344192505,0.2155279964208603,0.48258161544799805,0.7459855079650879,0.47466593980789185,0.6685220003128052,0.674522340297699,0.2769417464733124,0.5540370345115662,0.7925316095352173,4.155
YOLO,0.75,0.3533986806869507,0.41518163681030273,0.3893679678440094,0.07548512518405914,0.2316805124282837,0.4785633385181427,0.28210583329200745,0.36868545413017273,0.36868545413017273,0.08139888942241669,0.24624887108802795,0.49515989422798157,1.958
DETR,0.75,0.41239646077156067,0.5695032477378845,0.4403028190135956,0.19278250634670258,0.32725057005882263,0.5202591419219971,0.3086002767086029,0.45726796984672546,0.4643925726413727,0.26259058713912964,0.3788880407810211,0.5559729933738708,5.856
RT-DETR,0.75,0.5690929293632507,0.717766523361206,0.6144458055496216,0.16309309005737305,0.4098436236381531,0.7157557010650635,0.44964930415153503,0.6036758422851562,0.6045303344726562,0.1940833181142807,0.4476199448108673,0.7507416605949402,2.787
YOLO,0.9,0.19639837741851807,0.2129635065793991,0.21077170968055725,0.0,0.05083922669291496,0.3164350390434265,0.17559634149074554,0.19882889091968536,0.19882889091968536,0.0,0.04869170859456062,0.322254478931427,0.732
DETR,0.9,0.4020565152168274,0.5517920255661011,0.43071943521499634,0.18943992257118225,0.3125714957714081,0.5114277601242065,0.3058418333530426,0.442077100276947,0.44738566875457764,0.2488078624010086,0.35777047276496887,0.5432041883468628,4.092
RT-DETR,0.9,0.4827231764793396,0.5529311299324036,0.5300794839859009,0.009394939057528973,0.24942228198051453,0.6520406007766724,0.43215814232826233,0.500196635723114,0.500196635723114,0.009402597323060036,0.262328177690506,0.6746044158935547,1.487
