model,selection,conf,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large
YOLO,top-k,0.1,0.07876259833574295,0.09504043310880661,0.08579762279987335,0.0,0.09181717783212662,0.1596621572971344,0.11818181723356247,0.1622377634048462,0.1622377634048462,0.0,0.14253731071949005,0.34121620655059814
DETR,top-k,0.1,0.05296820029616356,0.07785254716873169,0.05545049160718918,0.00033753374009393156,0.08827444911003113,0.10023031383752823,0.10326340049505234,0.12610723078250885,0.12610723078250885,0.0020408162381500006,0.14104478061199188,0.23581081628799438
RT-DETR,top-k,0.1,0.06150873005390167,0.07347293198108673,0.06291022151708603,0.002640264108777046,0.09683234244585037,0.09940396994352341,0.10209789872169495,0.12051282078027725,0.12051282078027725,0.005442176945507526,0.13507463037967682,0.22162161767482758
YOLO,IoU-top10,0.1,0.10492230206727982,0.13188356161117554,0.11022000759840012,0.0,0.11237068474292755,0.2111816704273224,0.13216783106327057,0.1867132931947708,0.1867132931947708,0.0,0.170895516872406,0.3864865005016327
DETR,IoU-top10,0.1,0.06980708986520767,0.10014108568429947,0.07399789988994598,0.0003818953409790993,0.10486187785863876,0.13337944447994232,0.1191142201423645,0.14475524425506592,0.14475524425506592,0.0020408162381500006,0.1582089513540268,0.27432432770729065
RT-DETR,IoU-top10,0.1,0.07282684743404388,0.08622315526008606,0.0753820389509201,0.002640264108777046,0.10866067558526993,0.12091716378927231,0.11025641113519669,0.128671333193779,0.128671333193779,0.005442176945507526,0.14776119589805603,0.2337837815284729
YOLO,top-k,0.25,0.05926736816763878,0.06891639530658722,0.06590767204761505,0.0,0.06878364831209183,0.12197104096412659,0.0911421924829483,0.11235431581735611,0.11235431581735611,0.0,0.09029851108789444,0.24391892552375793
DETR,top-k,0.25,0.05296820029616356,0.07785254716873169,0.05545049160718918,0.00033753374009393156,0.08827444911003113,0.10023031383752823,0.10326340049505234,0.12610723078250885,0.12610723078250885,0.0020408162381500006,0.14104478061199188,0.23581081628799438
RT-DETR,top-k,0.25,0.06150873005390167,0.07347293198108673,0.06291022151708603,0.002640264108777046,0.09683234244585037,0.09940396994352341,0.10209789872169495,0.12051282078027725,0.12051282078027725,0.005442176945507526,0.13507463037967682,0.22162161767482758
YOLO,IoU-top10,0.25,0.07037808001041412,0.08258979022502899,0.07487212121486664,0.0,0.0730283185839653,0.14029304683208466,0.09533799439668655,0.11655011773109436,0.11655011773109436,0.0,0.0962686538696289,0.25067567825317383
DETR,IoU-top10,0.25,0.06980708986520767,0.10014108568429947,0.07399789988994598,0.0003818953409790993,0.10486187785863876,0.13337944447994232,0.1191142201423645,0.14475524425506592,0.14475524425506592,0.0020408162381500006,0.1582089513540268,0.27432432770729065
RT-DETR,IoU-top10,0.25,0.07282684743404388,0.08622315526008606,0.0753820389509201,0.002640264108777046,0.10866067558526993,0.12091716378927231,0.11025641113519669,0.128671333193779,0.128671333193779,0.005442176945507526,0.14776119589805603,0.2337837815284729
YOLO,top-k,0.5,0.033515188843011856,0.03722969815135002,0.035826776176691055,0.0,0.044232673943042755,0.0668458342552185,0.05244755372405052,0.05944056063890457,0.05944056063890457,0.0,0.05522388219833374,0.12229729443788528
DETR,top-k,0.5,0.05296820029616356,0.07785254716873169,0.05545049160718918,0.00033753374009393156,0.08827444911003113,0.10023031383752823,0.10326340049505234,0.12610723078250885,0.12610723078250885,0.0020408162381500006,0.14104478061199188,0.23581081628799438
RT-DETR,top-k,0.5,0.06150873005390167,0.07347293198108673,0.06291022151708603,0.002640264108777046,0.09683234244585037,0.09940396994352341,0.10209789872169495,0.12051282078027725,0.12051282078027725,0.005442176945507526,0.13507463037967682,0.22162161767482758
YOLO,IoU-top10,0.5,0.040525492280721664,0.04347974434494972,0.042316485196352005,0.0,0.044232673943042755,0.08254361897706985,0.054778553545475006,0.061771560460329056,0.061771560460329056,0.0,0.05522388219833374,0.12905405461788177
DETR,IoU-top10,0.5,0.06980708986520767,0.10014108568429947,0.07399789988994598,0.0003818953409790993,0.10486187785863876,0.13337944447994232,0.1191142201423645,0.14475524425506592,0.14475524425506592,0.0020408162381500006,0.1582089513540268,0.27432432770729065
RT-DETR,IoU-top10,0.5,0.07282684743404388,0.08622315526008606,0.0753820389509201,0.002640264108777046,0.10866067558526993,0.12091716378927231,0.11025641113519669,0.128671333193779,0.128671333193779,0.005442176945507526,0.14776119589805603,0.2337837815284729
YOLO,top-k,0.75,0.022304018959403038,0.023133372887969017,0.022737331688404083,0.0,0.024554455652832985,0.04898739978671074,0.03076923079788685,0.03310023248195648,0.03310023248195648,0.0,0.021641790866851807,0.0763513520359993
DETR,top-k,0.75,0.0354011207818985,0.052405573427677155,0.03478796407580376,0.0002475247601978481,0.07758565992116928,0.051704682409763336,0.07179487496614456,0.08484848588705063,0.08484848588705063,0.0013605442363768816,0.11716417968273163,0.13851352035999298
RT-DETR,top-k,0.75,0.03701958432793617,0.04458756744861603,0.03642382100224495,0.0,0.06259144842624664,0.058589864522218704,0.06340326368808746,0.0659673660993576,0.0659673660993576,0.0,0.07761193811893463,0.12094594538211823
YOLO,IoU-top10,0.75,0.02790808491408825,0.02865462936460972,0.02856462076306343,0.0,0.024554455652832985,0.06143414229154587,0.03310023248195648,0.035431236028671265,0.035431236028671265,0.0,0.021641790866851807,0.08310810476541519
DETR,IoU-top10,0.75,0.04552362486720085,0.06388256698846817,0.04723803326487541,0.00028288541943766177,0.09179238229990005,0.06893986463546753,0.08531468361616135,0.09860140085220337,0.09860140085220337,0.0013605442363768816,0.13432836532592773,0.16283783316612244
RT-DETR,IoU-top10,0.75,0.04218299686908722,0.04769645258784294,0.04455944895744324,0.0,0.06799805164337158,0.07025489956140518,0.06783216446638107,0.07039626687765121,0.07039626687765121,0.0,0.08432836085557938,0.12770269811153412
YOLO,top-k,0.9,0.005940594244748354,0.005940594244748354,0.005940594244748354,0.0,0.009900989942252636,0.0178217813372612,0.00699300691485405,0.009324009530246258,0.009324009530246258,0.0,0.007462686393409967,0.020270269364118576
DETR,top-k,0.9,0.028789222240447998,0.040114689618349075,0.028125613927841187,0.0,0.06490837782621384,0.042323581874370575,0.05850815773010254,0.06689976900815964,0.06689976900815964,0.0,0.09029851108789444,0.11216216534376144
RT-DETR,top-k,0.9,0.020533792674541473,0.02284843847155571,0.021325210109353065,0.0,0.035437293350696564,0.03033391572535038,0.03030303120613098,0.03216783329844475,0.03216783329844475,0.0,0.041044775396585464,0.05608108267188072
